Paises,Populacao,Primeira Dose,Vacina Completa,Casos,Obitos
Estados Unidos,334730911,446250342,194234782,47505480,767494
China,1450527511,2330726000,1072454000,98480,4636
Japao,126476461,195490201,96059314,1725458,18338
Alemanha,83783942,116200713,56352489,5271961,98751
Reino Unido,67886011,110646342,46087958,9721916,143559
Franca,65750317,101989127,46542671,7168026,115947
India,1380004385,1148786886,388254602,34489623,465082
Italia,60461826,93003762,43966144,4893887,133034
Brasil,112159547,154265235,114253388,21781436,607068
Republica da Coreia,51269185,82644996,40374444,409099,3215
Russia,145734034,118078630,52824805,9099253,256669
Australia,24898153,38348764,18266176,196977,1938
Espanha,40692863,74683916,37519860,5080663,87810
Mexico,126190782,130244910,63690510,3854994,291929
Indonesia,267670549,221362168,87960117,4252705,143714
Holanda,17059560,25789976,12618582,2399894,18900
Turquia,8234090,119200467,49979995,8529000,74646
Arabia Saudita,33702757,46979616,22171309,549412,8822
Suica,8525614,11492427,5649764,941218,11377
Paquistao,220892000,121470994,49483995,1282860,28677
Nigeria,206140000,9483387,3403492,213677,2974
Bangladesh,164689000,86995218,33999865,1574636,27958
Etiopia,114964000,5786422,1415181,370522,6704
Filipinas,109581000,77569344,43290294,2827820,47482
Egito,102334000,36906765,14022224,352123,20052
Vietna,97339000,110917609,43579920,1143967,24118
Congo,89561000,167791,46256,54009,1053
Ira,83993000,102145229,44726047,6088008,129177
Tailandia,69800000,88989235,39202716,2076135,20489
